CARNE       TIPO    LIBRO     FECHA
83265244    D       PL70268   20210908
66152145    E       ZQ38637   20210914
83265244    D       KC34197   20210906
35030611    E       BH96036   20210915
17750908    E       XN48844   20210916
83265244    D       XW06135   20210906
66152145    E       FY25192   20210914
77001234    D       FY25192   20210908
66152145    E       BH96036   20210914
99215341    E       ZR63735   20210914
15129661    E       FY82455   20210915
99215341    E       ZM20053   20210915
33958767    A       ZK87496   20210919
11750801    E       ZK87496   20210915
33958767    A       FY25192   20210919
54393647    A       XW06135   20210919
49516360    D       IW10872   20210906
99215341    E       QV96140   20210915
77001234    D       ZK87496   20210908
14268463    E       OT07742   20210916
99215341    E       XQ03477   20210914
61212473    A       ZQ38637   20210919
72832218    A       VA35843   20210920
11750801    E       FY82455   20210914
99215341    E       FY25192   20210915
77001234    D       QV96140   20210908
26916299    E       FY82455   20210914
11750801    E       XN48844   20210916
37500242    E       JO84937   20210916
49516360    D       JO84937   20210907
35030611    E       FW74175   20210914
77001234    D       PT00038   20210907
