LISTADO DE PRODUCTOS
================================================================================
CODIGO    DESCRIPCION                                      PRECIO      DESCUENTO
FAY216    LECHE LALA SEMI DESLACTOSADA 1LT                  16.98           0.00
MDA345    YOGHURT NATURAL LIGHT LALA 1KG                    25.86           4.70
WCF779    LICUADO LALA CIRUELA PASA Y NUEZ 240GR            10.89           5.13
FRM097    BEBIDA NARANJA BEBERE 470ML                        6.72          13.59
LPP315    CHILE PUYA DE LOS ALTOS 100GR                     10.85           0.00
HDH878    DONAS BIMBO 157.5GR 6 PZA PROMOCION               10.77           8.10
RSU947    TE DE MANZANILLA NEBO 24 1GR                      13.81           0.00
XFA701    FLAN LALA SABOR VAINILLA 100GR                     5.88           0.00
DJC285    SEMILLA DE ACELGA MINA                            15.07           0.00
TVM516    REBANADAS BIMBO 110GR                              8.73           7.42
YHH034    BEBIDA DE SOYA ADES GUANABANA 946ML               18.07           8.37
GKY372    GALLETAS CREMAX DE NIEVE VAINILLA 416GR           26.76           7.99
OJC654    YOGHURT CON DURAZNO LALA 1KG                      25.15           0.00
KPJ711    PALOMITAS POFETS FLAMIN HOT 28GR                   6.88           0.00
JGP724    YOGHURT P BEBER FRUGGIS FRESA 150GR                5.29           0.00
CPB299    POLVO PARA HORNEAR REXAL 15KILOS                 350.22           5.67
DMO873    SANDWICH COMBINADA 3 FLORES 150GR                  8.23           3.18
BNE007    CHAMYTO BIG 114ML                                  7.58           0.00
CCQ309    CHILE PASILLA MULATO LARGO 100GR                  18.19          12.13
WRW928    YOGHURT P BEBER LACTIGURT COCO 250G                9.87           0.00
RRS386    ZENZO BAR FRESA 66GR                               4.05           9.41
WIO334    PAPAYA                                            20.99           0.00
VYH871    NESQUIK CHOCOLATE 200GR                           13.51           0.00
ZYR094    VUALA CAJETA 84GR                                  5.25          11.43
SMQ815    CONDIMENTO PARA BIRRIA CUCU.                      80.95          10.56
RTU236    PAN DE MUERTO GRANDE                              25.42           2.63
CTR563    VAINILLA MOLINA 500ML                             19.26          13.42
TQU476    NESCAFE DOLCA 200GR                               42.01           6.26
TCJ670    YOGHURT FRESA NESTLE 1KG                          23.27          12.73
JGS495    MAIZENA NATURAL 750GR                             43.62           0.00
AGB147    PALOMITAS POFETS FLAMIN HOT 28GR                   6.88           0.00
EPT862    PINGUINOS MARINELA 40GR                            4.40           7.02
LOA323    GELATINA SABOR PIÑA LIGHT LA GLORIA 25GR           8.51          12.04
GFW165    YOGHURT CON DURAZNO LALA 1KG                      25.15           0.00
VYG314    GELATINA DANY LIMON 125GR                          5.38           0.00
OTD480    FRIJOLES REFRITOS ISADORA 430GR                   13.28           1.92
RAV186    GALLETAS SUAVICREMAS FRESA 158GR                  13.85           0.00
WXZ268    ALUBIAS ANTIQUA 540GR                             17.85           8.19
ZNQ329    JUGO DE UVA MINUTE MAID 200ML                      4.39           8.24
RGI240    BARRA DE HOGUELAS DE ARROZ Y TRIGO 24 GR           4.83           3.33
YXQ457    LIMONADA H2O 250ML                                 8.58           4.82
EWQ268    PALOMITAS POFETS FLAMIN HOT 28GR                   6.88           0.00
ARQ044    MANGO ECUATORIANO                                 16.50          11.83
LYQ603    NARANJA SIN SEMILLA                               10.24           0.00
TYD312    NESCAFE DOLCA 200GR                               42.01           6.26
ISG853    LECHE EN POLVO NIDO KINDER 400GR                  39.84           2.09
TOP017    CROQUETAS PEDIGREE BENEFUL 10.1KG                270.88          12.84
YNM350    PASTILLA PEPTO BISMOL                              3.15           2.41
MWC081    YOGHURT NATURAL LIGHT LALA 1KG                    25.86           4.70
GIX433    AGUA NIAGARA 500ML                                 5.64           0.94
EZX531    ACHIOTE MARIN 130GR                                8.71           0.00
KST413    CROQUETAS PEDIGREE BENEFUL 10.1KG                270.88          12.84
JYF824    TANJERINA                                          5.58           0.00
WNV654    PALOMITAS POFETS FLAMIN HOT 28GR                   6.88           0.00
VNB505    TANJERINA                                          5.58           0.00
BNG728    ACHIOTE LA EXTRA 1KG                              45.54           6.77
UMH316    TOSTILOCOS PREPARADOS                             25.53           4.83
GOV883    PINGUINOS MARINELA 40GR                            4.40           7.02
OJO070    CHILES CHIPOTLES LA COSTENA 380GR                 18.53           0.00
EZJ651    PAPA EN CUBOS DEL FUERTE 12 380GR.                 9.53           0.00
TYP962    LICUADO LALA CIRUELA PASA Y NUEZ 240GR            10.89           5.13
FDQ385    CHILE PASILLA MULATO LARGO 100GR                  18.19          12.13
GJX975    CORAZONES DE OREJONA PZA                          10.79          14.32
XIL352    YOGHURT P BEBER LACTIGURT COCO 250G                9.87           0.00
MPS752    MEDIA CREMA NESTLE 1LT                            40.80           1.35
QKA145    NARANJA SIN SEMILLA                               10.24           0.00
IKV163    PAPA EN CUBOS DEL FUERTE 12 380GR.                 9.53           0.00
GZM689    TANJERINA                                          5.58           0.00
BPY520    TORTILLAS DE MAIZ 1KG                             14.93           7.91
EAP247    TORTILLAS DE MAIZ 1KG                             14.93           7.91
QAK642    SOPA MARUCHAN CAMARON 71GR                         7.68          10.53
PIZ883    CORAZONES DE OREJONA PZA                          10.79          14.32
QXS354    PINGUINOS MARINELA 40GR                            4.40           7.02
KWQ868    PAPATINAS CHILIX 25GR                              4.71           0.00
